Laufende Nummer;Bildnummer;Sammlungsbereich;Hauptgruppe;Inventar-Nr.;OBJEKTGRUPPE_Objektbezeichnung;OBJEKTGRUPPE_Objektbezeichnung_Pfad im Thesaurus (autom.);Beschreibung des Gegenstandes;Abgebildete Institution;Abgebildeter Ort;HERSTELLUNG_KÜNSTLER/HERSTELLER_Typ (Person|Werkstatt);HERSTELLUNG_KÜNSTLER/HERSTELLER_Name;HERSTELLUNG_KÜNSTLER/HERSTELLER_Rolle;Material;Alte Inv.-Nr.(MfGSL);Rapport-Nr.;Stückzahl;EINLIEFERUNG_Schlagwort;Schlagwort-Gruppe_Schlagwort;HERSTELLUNG_DATIERUNG_Datierung verbal;HERSTELLUNG_DATIERUNG_Datierung Midas (autom.);HERSTELLUNG_DATIERUNG_Datierung Anfang (autom.);HERSTELLUNG_DATIERUNG_Datierung Ende (autom.);Technik;Maße;Abgebildeter Gegenstand;Alte Inv.-Nr.(GDM);Abgebildetes Ereignis;Erwähntes Ereignis;Objekttitel;HERSTELLUNG_Herstellungsort;Bearbeiter;Abgebildete Person;Dargestellte Zeit;Erwähnte Institution;Untergruppe;Weitere Inventar-Nr.;Erwähnte Person;ZUSATZMEDIEN_Medienart;ZUSATZMEDIEN_Ablage;ZUSATZMEDIEN_DATEINAME;Kategorie der Darstellung;URL;﻿Archivsignatur;GEOKOORDINATEN_MOTIV
BB046391;BB046391;Fotothek;Negative;F/3751/2005;Negativ;;"Rosental, Aschenberg (Scherbelberg) mit Holz-Aussichtsturm; um 1900.";Holz-Aussichtsturm;"Gohlis;Rosentalweg;Scherbelberg";Person;Vogel, Hermann;Fotograf;Glas;1215;Rp.89.27;1;;"Rosental;Baudenkmal";1900 (um);1895/1905;1895;1905;"Negativ;s/w";13x18;;;;Einweihung Aussichtsturm 22.06.1896;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/8/89/Bb046391.jpg;BB046391;POINT (51.3570035 12.3472721)
BB046581;BB046581;Fotothek;Negative;F/4027/2005;Negativ;;"Markgrafenstraße; Modehaus Polich, rechts Deutsche Reichsbank, Eingang Petersstraße; um 1890";"Modehaus Polich;Deutsche Reichsbank";"Markgrafenstraße 2;Petersstraße";Person;Vogel, Hermann;Fotograf;Glas;1488;Rp.89.27;1;;"Kaufhaus;Bank;Straßenzug";1890 (um);1885/1895;1885;1895;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/4/44/Bb046581.jpg;BB046581;POINT (51.33643 12.3744866)
BB046549;BB046549;Fotothek;Negative;F/3977/2005;Negativ;;"Theaterplatz, Altes Theater, Südseite; um 1895.";Theater, Altes;Theaterplatz;Person;Vogel, Hermann;Fotograf;Glas;1461;Rp.89.27;1;;"Spielstätte;Theater";1895 (um);1890/1900;1890;1900;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/3/34/Bb046549.jpg;BB046549;POINT (51.343522 12.37214600077)
BB046545;BB046545;Fotothek;Negative;F/3973/2005;Negativ;;"Nonnenmühlgasse Nr. 5; Vegetarische Speiseanstalt 'Thalysia'; um 1895.";Vegetarische Speiseanstalt 'Thalysia';Nonnenmühlgasse 5;Person;Vogel, Hermann;Fotograf;Glas;1457;Rp.89.27;1;;Gaststätte;1895 (um);1890/1900;1890;1900;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb046545.jpg;BB046545;POINT (51.3349367 12.3734121)
BB046634;BB046634;Fotothek;Negative;F/4165/2005;Negativ;;"König Albert-Park, Sächsisch-Thüringische Gewerbeausstellung, Eingang; 1897.";;König Albert-Park;Person;Vogel, Hermann;Fotograf;Glas;1884;Rp.89.27;1;;"König Albert-Park;Ausstellung;Tor";1897;1897/1897;1897;1897;"Negativ;s/w";13x18;;;Sächsisch-Thüringische Gewerbeausstellung;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/8/86/Bb046634.jpg;BB046634;POINT (51.33050505 12.3588509980054)
BB046649;BB046649;Fotothek;Negative;F/4168/2005;Negativ;;Fotografie s/w, Radrennbahn, Freiballonfahrten, 18. und 19. Jun 1905;;"Rennbahn für Radfahrer;Frankfurter Straße;Sportplatz Gabelwiese";Person;Vogel, Hermann;Fotograf;Glas;1887;Rp.89/1927;1;;Sport;1910.06.18;1910/1910;1910;1910;"Negativ;s/w";13 x 18 cm;;;Freiballonfahrten;;Nationale Ballonwettfahrt;Leipzig;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb046649.jpg;BB046649;POINT (51.3405852 12.3508894)
BB046407;BB046407;Fotothek;Negative;F/3968/2005;Negativ;;"Thüringer Bahnhof, von der Blücherstraße aus; um 1895.";Thüringischer Bahnhof;Blücherstraße 37;Person;Vogel, Hermann;Fotograf;Glas;1452b;Rp.89.27;1;;Bahnhof;1895 (um);1890/1900;1890;1900;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb046407.jpg;BB046407;POINT (51.34517 12.3789701)
BB046528;BB046528;Fotothek;Negative;F/3862/2005;Negativ;;"Roßplatz mit Panorama und Kleinmesse; um 1900.";;Roßplatz 5;Person;Vogel, Hermann;Fotograf;Glas;1334;Rp.89.27;1;;Messe <Wirtschaft>;1905;1905/1905;1905;1905;Negativ;13 x 18 cm;;;Kleinmesse;;;Leipzig;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb046528.jpg;BB046528;POINT (51.3363252 12.381256)
BB045331;BB045331;Fotothek;Negative;F/6543/2005;Negativ;;Vermessungsarbeiten im Karl-Heine-Kanal, Hintergrund Saalfelder Brücke und Saalfelder Straße 8, 1905.;;"Saalfelder Straße;3Karl-Heine-Kanal;Saalfelder Brücke";Person;Vogel, Hermann;Fotograf;Glas;1943c;Rp.89/1927;1;;"Karl-Heine-Kanal;Brücke;Karl-Heine-Kanal";1890 (um);1885/1895;1885;1895;"Negativ;Schwarz-Weiß-Fotografie";18 x 24 cm;;;;;Vermessungsarbeiten im Karl-Heine-Kanal, Hintergrund Saalfelder Brücke und Saalfelder Straße 8, 1905.;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/3/37/BB045331.jpg;BB045331;POINT (51.3302207 12.3203283041803)
S0004701;S0004701;Fotothek;Positive;2535;Fotografie;Graphik-Photographie » Photographie » Fotografie;Brühl;;Brühl 3;Werkstatt;Vogel, Hermann;Verlag;"Fotopapier;Karton";;;;;;;;;;Fotografie;17 x 11 cm;;;;;;;"Lange (Eingabe);Steppat (Korr.)";;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/0/09/S0004701.jpg;S0004701;POINT (51.3430197 12.3767051)
BB045630;BB045630;Fotothek;Negative;F/6517/2005;Fotografie;Graphik-Photographie » Photographie » Fotografie;"Grimmaische Straße; Salamander-Haus, Messehaus 'Hansahaus', Warenhaus M. Schneider, Messehaus 'Reichshof', Messehaus 'Handelshof', um 1917.";"Messehaus 'Handelshof';Messehaus 'Reichshof';Warenhaus; M.Schneider;Messehaus Hansahaus;Salamander-Haus";"Reichsstraße 2;Grimmaische Straße 1-15";Person;Vogel, Hermann;Fotograf;Glas;1769;Rp.89.27;1;;"Geschäftshaus;Messehaus;Kaufhaus;Messehaus";1917 (um);1912/1922;1912;1922;"Negativ;s/w";24x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045630.jpg;BB045630;POINT (51.34005675 12.3772797524221)
BB045266;BB045266;Fotothek;Negative;F/6393/2005;Negativ;;"Reichsgericht; Vordergrund Tauchnitz-Brücke und Pleiße, rechts Villa Vogel, um 1910.";Reichsgericht;"Tauchnitz-Brücke;Reichsgerichtsplatz;Karl-Tauchnitz-Straße;Wächterstraße 30";Person;Vogel, Hermann;Fotograf;Glas;1245;Rp.89.27;1;;Gericht;1900 (um);1895/1905;1895;1905;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/5/56/Bb045266.jpg;BB045266;POINT (51.33512685 12.3706162439044)
BB045226;BB045226;Fotothek;Negative;F/6427/2005;Negativ;;"Blücherplatz, Neue Börse mit Börsenrestaurant, rechts Hotel 'Börse' und Gebäude des Kreditvereins; nach 1902.";"Hotel 'Börse';Bank;Börse, Neue";"Blücherplatz;Packhofstraße 2-4";Person;Vogel, Hermann;Fotograf;Glas;1268;Rp.89.27;1;;"Platz;Börse;Gaststätte Hotel;Bank";1902 (nach);1902/1912;1902;1912;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045226.jpg;BB045226;POINT (51.3436627 12.3788907)
BB046475;BB046475;Fotothek;Negative;F/3912/2005;Negativ;;"Reichsstraße; 'Burgkeller', Gaststätteninnenraum im Keller; um 1900.";Burgkeller;"Reichsstraße 5;Naschmarkt";Person;Vogel, Hermann;Fotograf;Glas;1381;Rp.89.27;1;;"Gaststätte;Innenraum";1900 (um);1895/1905;1895;1905;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb046475.jpg;BB046475;POINT (51.340274 12.3767239)
BB046592;BB046592;Fotothek;Negative;F/4033/2005;Negativ;;"Wintergartenstraße, Krystallpalast mit Alberthalle und Garten; um 1900.";"Krystallpalast;Alberthalle";"Wintergartenstraße;Garten";Person;Vogel, Hermann;Fotograf;Glas;1493b;Rp.89.27;1;;"Gesellschaftshaus;Gaststätte;Garten";1900 (um);1895/1905;1895;1905;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/7/73/Bb046592.jpg;BB046592;POINT (51.3435409 12.3851479)
S0003410;S0003410;Fotothek;Positive;F/18/2001;Fotografie;Graphik-Photographie » Photographie » Fotografie;Café Francais, Eingang in die Grimmaische Straße, Blick vom Augustusplatz;Café Francais;"Augustusplatz;Grimmaische Straße";Werkstatt;Vogel, Hermann;Verleger;"Fotopapier;Pappe";;"Rp.27.82;Rp.27.82";;;;1898 (vor);1888/1898;1888;1898;Fotografie;"H: 7 cm;B: 10,5 cm";;;;;;Leipzig;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/c/c2/S0003410.jpg;S0003410;POINT (51.339245 12.3796821)
BB046568;BB046568;Fotothek;Negative;F/4016/2005;Negativ;;"Augustusplatz, mit Mendebrunnen, Augusteum, Paulinerkirche; Café Francais; Geschäftshaus Röper; um 1890.";"Augusteum;Paulinerkirche;Café Francais;Konfektionshaus; Röper";"Augustusplatz;Goethestraße 1;Mendebrunnen";Person;Vogel, Hermann;Fotograf;Glas;1476;Rp.89.27;1;;"Brunnen;Universität;Kirche;Gaststätte;Geschäftshaus";1890 (um);1885/1895;1885;1895;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/7/7d/Bb046568.jpg;BB046568;POINT (51.3396727 12.3798825)
BB046633;BB046633;Fotothek;Negative;F/4166/2005;Negativ;;"König Albert-Park, Sächsisch-Thüringische Gewerbeausstellung, Kaiserpavillon; 1897.";;König Albert-Park;Person;Vogel, Hermann;Fotograf;Glas;1885;Rp.89.27;1;;"König Albert-Park;Ausstellung;Pavillon";1897;1897/1897;1897;1897;"Negativ;s/w";13x18;Kaiserpavillon;;Sächsisch-Thüringische Gewerbeausstellung;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/3/3b/Bb046633.jpg;BB046633;POINT (51.33050505 12.3588509980054)
BB046685;BB046685;Fotothek;Negative;F/4241/2005;Negativ;;"Wintergartenstraße, Krystallpalast mit Trianongarten; um 1905.";Krystallpalast;"Trianongarten;Wintergartenstraße 17/19";Person;Vogel, Hermann;Fotograf;Glas;2109;Rp.89.27;1;;"Gesellschaftshaus;Garten";1905 (um);1900/1910;1900;1910;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/8/8d/Bb046685.jpg;BB046685;POINT (51.3435409 12.3851479)
BB046564;BB046564;Fotothek;Negative;F/4012/2005;Negativ;;"Brühl, Ecke Plauensche Straße; Café Gesswein, um 1910.";"Café Gesswein;Goldener Apfel";"Brühl 21;Plauensche Straße";Person;Vogel, Hermann;Fotograf;Glas;1473;Rp.89.27;;;"Gaststätte;Straßenzug";1910 (um);1905/1915;1905;1915;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb046564.jpg;BB046564;POINT (51.3431323 12.3748415)
BB046500;BB046500;Fotothek;Negative;F/3896/2005;Negativ;;"Grimmaische Straße, Auerbachs Hof u.a. mit Bankgeschäft Steinmüller und Messeausstellern; um 1900.";Auerbachs Hof;Grimmaische Straße 2;Person;Vogel, Hermann;Fotograf;Glas;1362;Rp.89.27;1;;"Bürgerhaus;Innenhof";1900 (um);1895/1905;1895;1905;"Negativ;s/w";18x13;;;Messe;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/a/a3/Bb046500.jpg;BB046500;POINT (51.3395745 12.3754038)
BB046512;BB046512;Fotothek;Negative;F/3855/2005;Negativ;;"Frankfurter Straße, Lortzings Haus mit Garten; vor 1897.";Lortzings Haus;Frankfurter Straße 8;Person;Vogel, Hermann;Fotograf;Glas;1326;Rp.89.27;1;;"Große Funkenburg;Villa;Garten";1897 (vor);1887/1897;1887;1897;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/1/1f/Bb046512.jpg;BB046512;POINT (51.3430719 12.3639554)
BB046556;BB046556;Fotothek;Negative;F/3981/2005;Negativ;;"Markt, Altes Rathaus und Wochenmarkt, Hintergrund Alte Waage; um 1890.";"Rathaus, Altes;Waage, Alte";"Markt;Markt 1;Markt 4";Person;Vogel, Hermann;Fotograf;Glas;1464a;Rp.89.27;1;;"Platz;Rathaus;Geschäftshaus";1890 (um);1885/1895;1885;1895;"Negativ;s/w";13x18;;/;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/f/fa/Bb046556.jpg;BB046556;POINT (51.3407154 12.3744974)
S0026306;S0026306;Fotothek;Positive;Doubl. 2072;Fotografie;Graphik-Photographie » Photographie » Fotografie;;Thomaskirchhof;;Werkstatt;Vogel,Hermann;Kunsthandlung;Fotopapier;;Rp.17.47;;;;;;;;;9 x 6 cm;Leibniz-Denkmal;;;;;Leipzig,Goethestrasse 2;;Leibniz;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/a/af/S0026306.jpg;S0026306;POINT (51.339585 12.3717398)
S0032600;S0032600;Fotothek;Positive;S/560/2003;Fotografie;Graphik-Photographie » Photographie » Fotografie;"Foto auf Pappe;Blick von Nord-Westen auf das Areal des Reichsgerichts (heute Bundesverwaltungsgericht)";;"Harkortstraße 6;Harkortstraße 15";Person;Vogel, Hermann;"Fotograf;Verleger";Fotopapier;;;;;;1888.10.31;1888/1888;1888;1888;;"19,1 x 24,5 cm (Pappe);16,6 x 21,6 cm (Foto)";;;Grundsteinlegung für das Reichsgericht;;;Leipzig;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/f/f0/S0032600.jpg;S0032600;POINT (51.33214575 12.3710827068361)
S0024478;S0024478;Fotothek;Positive;Doubl. 870;Fotografie;Graphik-Photographie » Photographie » Fotografie;Fotopapier auf Pappe, dargestellt ist die Nonnemühle, davor steht ein Pferdefuhrwerk, im Hintergrund die Thomaskirche sichtbar;"Nonnenmühle;Thomaskirche";;Werkstatt;Vogel,Hermann;Verlag;Fotopapier auf Pappe;;Rp.61/1941;;;;1890;1890/1890;1890;1890;;17 x 11 cm;"Pferdefuhrwerk;Wagen;Pferd";;;;Alte Nonnemühle;Leipzig;;;1890;Nonnenmühle;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/1/1c/S0024478.jpg;S0024478;POINT (51.3347872 12.3708378)
BB045243;BB045243;Fotothek;Negative;F/6420/2005;Negativ;;Fotografie, s/w, Markthallenstraße, Ecke Brüderstraße, Markthalle, um 1900. Im Turm befanden sich die Wassertanks für den hydraulischen Aufzug.;Markthalle;Markthallenstraße 1;Person;Vogel, Hermann;Fotograf;Glas;1261;Rp.89/1927;1;;Markthalle;1900 (um);1895/1905;1895;1905;"Negativ;s/w";24 x 18 cm;;;;;;Leipzig;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045243.jpg;BB045243;POINT (51.333956 12.3755664)
BB045251;BB045251;Fotothek;Negative;F/6396/2005;Negativ;;"Königsplatz, Altes Grassimuseum; um 1905.";Grassimuseum, Altes;Königsplatz;Person;Vogel, Hermann;Fotograf;Glas;1249;Rp.89.27;1;;Museum;1905 (um);1900/1910;1900;1910;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/Bb045251.jpg;BB045251;POINT (51.33379335 12.3744883834756)
BB045235;BB045235;Fotothek;Negative;F/6446/2005;Negativ;;"Preußenstraße, Völkerschlachtdenkmal im Bau; um 1905.";Völkerschlachtdenkmal <Leipzig>;"Preußenstraße;Probstheida";Person;Vogel, Hermann;Fotgraf;Glas;1232a;Rp.89.27;1;;"Denkmal;Baustelle";1905 (um);1900/1910;1900;1910;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045235.jpg;BB045235;POINT (51.3124744 12.4135158516381)
BB046291;BB046291;Fotothek;Negative;F/3689/2005;Negativ;;"Hallesche Straße mit Viadukt und Königs Ziegelei; um 1905.";Ziegelei König;"Wahren;Viadukt;Hallesche Straße";Person;Robert Fölk;Fotograf;Glas;976;Rp.125.23;1;;"Straßenzug;Brücke;Gewerbebetrieb";1905 (um);1900/1910;1900;1910;"Negativ;s/w";13x18;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb046291.jpg;BB046291;POINT (51.3781081 12.3057208)
S0006061;S0006061;Fotothek;Positive;5575;Fotografie;Graphik-Photographie » Photographie » Fotografie;;"Wasserkunst;Nonnenmühle";;"Person;Werkstatt";"Vogel, Hermann;Vogel, Hermann";"Fotograf;Verleger";Fotopapier;;;;;;;;;;;11 x 16, 8 cm;;;;;Die alte Nonnenmühle.;;;;;Nonnenmühle;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/3/3e/S0006061.jpg;S0006061;POINT (51.3347872 12.3708378)
BB047228;BB047228;Fotothek;Nachlässe;F/5348/2005;Negativ;;"Johannapark; Teich im Winter; Hintergrund Lutherkirche; um 1905.";Lutherkirche;"Johannaparkteich;Bismarckstraße 25";Person;Walter, Hermann;Fotograf;Glas;3103;Rp.8/1935;1;;"Johanna-Park;stehendes Gewässer;Parkanlage;Kirche";1905 (um);1900/1910;1900;1910;"Negativ;s/w";13x18;;;;;;;;Schlittschuhläufer;;;Hermann Walter Sammlung;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb047228.jpg;BB047228;POINT (51.3346363 12.3630697677561)
BB045623;BB045623;Fotothek;Negative;F/6485/2005;Fotografie;Graphik-Photographie » Photographie » Fotografie;"Augustusplatz, Augusteum; um 1900.";Augusteum;Augustusplatz 5;Person;Vogel, Hermann;Fotograf;Glas;1717;Rp.89.27;1;;Universität;1900 (um);1895/1905;1895;1905;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045623.jpg;BB045623;POINT (51.338664 12.3790953598837)
S0021174;S0021174;Fotothek;Positive;Doubl. 71/1;Fotografie;Graphik-Photographie » Photographie » Fotografie;Altes Rathaus, Vorderansicht mit Markt;Rathaus, Altes;Markt 1;"Person;Werkstatt";"Vogel, Hermann;Vogel, Hermann";"Fotograf;Verlag";Fotopapier;;Rp.206/24;;;;1900;1900/1900;1900;1900;Fotografie;16 x 22 cm;Marktschirm;;;;Leipzig;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/c/c7/S0021174.jpg;S0021174;POINT (51.34057855 12.3746931268184)
BB045336;BB045336;Fotothek;Negative;F/6482/2005;Negativ;;"Augustusplatz, Altes Hauptpostamt, Geschäftshaus Flinsch; um 1908.";"Hauptpostamt, Altes;Papierverlag; Ferdinand Flinsch";"Augustusplatz 2 u. 3;Augustusplatz";Person;Vogel, Hermann;Fotograf;Glas;1711;Rp.89.27;1;;"Postamt;Geschäftshaus;Platz";1908 (um);1903/1913;1903;1913;"Negativ;s/w";18x24;;;;;;;;;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/6/68/bb045336.jpg;BB045336;POINT (51.3392609 12.3825768)
